user_id,event_sequence,country,device_type,membership,rage_clicks_5m,policy_views_5m,cart_additions_5m,active_session_duration,total_events,churned
user_10,"[""view_returns"", ""purchase"", ""search"", ""add_to_cart"", ""page_view"", ""add_to_cart"", ""begin_checkout"", ""add_to_cart"", ""page_view"", ""begin_checkout"", ""contact_support"", ""check_policy"", ""check_policy"", ""search"", ""rage_click"", ""contact_support""]",FR,desktop,enterprise,1,1,2,81.79523635185758,57,0
user_11,"[""wishlist_add"", ""add_to_cart"", ""check_policy"", ""page_view"", ""remove_from_cart"", ""remove_from_cart"", ""begin_checkout"", ""check_policy"", ""check_policy"", ""search"", ""remove_from_cart"", ""check_policy"", ""search"", ""add_to_cart""]",UK,tablet,premium,1,0,3,878.847359669993,89,1
user_12,"[""wishlist_add"", ""view_item"", ""contact_support"", ""rage_click"", ""begin_checkout"", ""purchase"", ""wishlist_add"", ""wishlist_add"", ""wishlist_add"", ""wishlist_add""]",US,tablet,free,2,0,0,108.79817186595511,72,0
user_13,"[""search"", ""contact_support"", ""check_policy"", ""wishlist_add"", ""rage_click"", ""check_policy"", ""page_view"", ""page_view""]",IN,mobile,premium,0,0,0,7.851300884527321,97,0
user_14,"[""search"", ""rage_click"", ""remove_from_cart"", ""rage_click"", ""add_to_cart"", ""check_policy"", ""purchase"", ""view_returns"", ""search"", ""rage_click"", ""begin_checkout"", ""page_view"", ""add_to_cart""]",IN,desktop,enterprise,1,0,0,19.772093378626078,45,0
user_15,"[""wishlist_add"", ""view_returns"", ""search"", ""purchase"", ""view_returns"", ""rage_click"", ""remove_from_cart"", ""page_view"", ""page_view"", ""contact_support"", ""remove_from_cart"", ""wishlist_add"", ""check_policy"", ""view_item""]",CN,tablet,enterprise,0,1,1,448.1569187696489,72,0
user_16,"[""page_view"", ""begin_checkout"", ""page_view"", ""view_returns"", ""page_view"", ""search"", ""page_view""]",CN,mobile,free,0,0,0,424.600415456173,84,1
user_17,"[""view_item"", ""wishlist_add"", ""purchase"", ""check_policy"", ""begin_checkout"", ""page_view""]",FR,mobile,premium,0,0,3,144.29620838374348,35,1
user_18,"[""add_to_cart"", ""view_item"", ""begin_checkout"", ""wishlist_add"", ""contact_support""]",US,tablet,enterprise,0,0,4,49.88749699134382,15,0
user_19,"[""check_policy"", ""remove_from_cart"", ""check_policy"", ""search"", ""view_returns"", ""search"", ""page_view"", ""purchase"", ""view_returns"", ""begin_checkout""]",FR,desktop,premium,0,0,2,206.80943301398406,35,1
user_20,"[""view_item"", ""purchase"", ""purchase"", ""search"", ""page_view"", ""rage_click"", ""wishlist_add"", ""search""]",IN,mobile,enterprise,0,0,1,120.9901306601982,52,1
user_21,"[""add_to_cart"", ""remove_from_cart"", ""wishlist_add"", ""search"", ""remove_from_cart"", ""add_to_cart"", ""contact_support"", ""add_to_cart"", ""add_to_cart"", ""remove_from_cart""]",US,tablet,free,1,0,1,140.50630400871054,10,0
user_22,"[""remove_from_cart"", ""rage_click"", ""page_view"", ""view_returns"", ""check_policy"", ""view_item"", ""view_returns"", ""page_view"", ""search"", ""wishlist_add"", ""rage_click""]",UK,mobile,premium,0,0,1,90.73126190264,18,1
user_23,"[""view_item"", ""check_policy"", ""contact_support"", ""add_to_cart"", ""check_policy"", ""wishlist_add"", ""contact_support"", ""rage_click"", ""remove_from_cart"", ""wishlist_add"", ""page_view"", ""view_item"", ""page_view""]",JP,desktop,premium,0,0,2,19.476110276521315,36,1
user_24,"[""wishlist_add"", ""begin_checkout"", ""begin_checkout"", ""search"", ""check_policy"", ""rage_click"", ""rage_click"", ""add_to_cart"", ""add_to_cart"", ""add_to_cart"", ""remove_from_cart"", ""view_returns"", ""purchase"", ""view_returns"", ""page_view"", ""view_returns"", ""remove_from_cart"", ""search""]",US,tablet,free,0,1,1,469.8550223129149,80,0
user_25,"[""view_returns"", ""remove_from_cart"", ""purchase"", ""view_returns"", ""remove_from_cart""]",JP,desktop,free,2,1,1,288.87387389892757,12,0
user_26,"[""add_to_cart"", ""rage_click"", ""add_to_cart"", ""rage_click"", ""view_item"", ""view_item"", ""view_item"", ""purchase"", ""add_to_cart"", ""rage_click"", ""remove_from_cart"", ""page_view"", ""remove_from_cart"", ""page_view"", ""begin_checkout"", ""remove_from_cart"", ""view_returns"", ""view_returns""]",US,desktop,free,0,1,1,539.8802626411562,70,1
user_27,"[""add_to_cart"", ""page_view"", ""page_view"", ""wishlist_add"", ""search"", ""add_to_cart"", ""purchase"", ""check_policy"", ""purchase"", ""purchase"", ""purchase""]",UK,mobile,free,1,0,1,209.87151858345445,82,0
user_28,"[""add_to_cart"", ""purchase"", ""view_returns"", ""search"", ""search"", ""view_item"", ""begin_checkout"", ""page_view"", ""wishlist_add"", ""page_view"", ""begin_checkout"", ""wishlist_add"", ""add_to_cart"", ""remove_from_cart"", ""add_to_cart"", ""page_view"", ""page_view""]",IN,desktop,enterprise,0,1,1,1259.6444244044326,11,1
user_29,"[""wishlist_add"", ""begin_checkout"", ""purchase"", ""add_to_cart"", ""wishlist_add"", ""rage_click"", ""begin_checkout"", ""view_returns"", ""page_view"", ""begin_checkout"", ""add_to_cart"", ""wishlist_add"", ""page_view"", ""remove_from_cart"", ""begin_checkout"", ""check_policy""]",BR,mobile,premium,0,0,4,985.2236452522633,83,0
user_30,"[""add_to_cart"", ""view_item"", ""rage_click"", ""contact_support"", ""purchase""]",CN,tablet,enterprise,1,0,0,95.14706015039228,90,0
user_31,"[""add_to_cart"", ""view_returns"", ""view_returns"", ""view_item"", ""purchase"", ""check_policy"", ""view_item"", ""search"", ""contact_support"", ""view_item"", ""contact_support"", ""page_view"", ""view_returns"", ""page_view""]",JP,tablet,free,0,0,1,146.80580958699392,40,0
user_32,"[""search"", ""purchase"", ""check_policy"", ""contact_support"", ""check_policy"", ""contact_support"", ""add_to_cart"", ""view_item"", ""rage_click"", ""view_returns"", ""wishlist_add"", ""contact_support"", ""check_policy""]",IN,mobile,enterprise,0,0,1,419.1573504426655,74,0
user_33,"[""remove_from_cart"", ""remove_from_cart"", ""page_view"", ""view_returns"", ""wishlist_add"", ""add_to_cart"", ""check_policy"", ""wishlist_add"", ""view_item"", ""view_item"", ""check_policy"", ""purchase"", ""add_to_cart""]",FR,mobile,enterprise,0,0,2,449.64206677027136,27,0
user_34,"[""contact_support"", ""purchase"", ""contact_support"", ""contact_support"", ""purchase"", ""page_view"", ""remove_from_cart"", ""contact_support"", ""purchase"", ""purchase"", ""search"", ""wishlist_add"", ""begin_checkout""]",US,mobile,premium,0,0,1,724.723235575373,15,1
user_35,"[""view_returns"", ""begin_checkout"", ""wishlist_add"", ""wishlist_add"", ""wishlist_add""]",CN,desktop,premium,0,2,0,317.2127462484837,51,0
user_36,"[""check_policy"", ""remove_from_cart"", ""purchase"", ""remove_from_cart"", ""add_to_cart"", ""check_policy"", ""view_returns"", ""remove_from_cart"", ""view_item""]",US,tablet,premium,1,3,2,193.37624254791837,77,0
user_37,"[""contact_support"", ""add_to_cart"", ""page_view"", ""view_returns"", ""add_to_cart"", ""wishlist_add"", ""contact_support"", ""check_policy"", ""contact_support"", ""begin_checkout"", ""contact_support"", ""begin_checkout"", ""check_policy"", ""rage_click"", ""wishlist_add"", ""begin_checkout""]",FR,tablet,free,0,0,2,142.27654006299485,13,0
user_38,"[""contact_support"", ""contact_support"", ""page_view"", ""view_item"", ""purchase""]",IN,desktop,free,0,0,1,162.9935660221753,13,0
user_39,"[""view_returns"", ""begin_checkout"", ""page_view"", ""check_policy"", ""begin_checkout"", ""purchase"", ""check_policy"", ""add_to_cart"", ""wishlist_add"", ""contact_support"", ""add_to_cart"", ""begin_checkout"", ""purchase""]",UK,mobile,premium,1,0,2,569.9473938708146,74,1
user_40,"[""wishlist_add"", ""begin_checkout"", ""page_view"", ""remove_from_cart"", ""begin_checkout"", ""wishlist_add"", ""contact_support"", ""contact_support"", ""begin_checkout"", ""check_policy"", ""remove_from_cart"", ""page_view"", ""begin_checkout""]",DE,tablet,enterprise,0,1,2,1173.739585076533,50,1
user_41,"[""contact_support"", ""contact_support"", ""purchase"", ""begin_checkout"", ""remove_from_cart"", ""view_item"", ""remove_from_cart"", ""contact_support"", ""contact_support"", ""add_to_cart"", ""contact_support""]",US,desktop,premium,1,0,1,15.991495445213854,52,0
user_42,"[""view_returns"", ""begin_checkout"", ""remove_from_cart"", ""view_returns"", ""check_policy""]",BR,mobile,free,1,0,1,260.42498054715713,64,0
user_43,"[""page_view"", ""wishlist_add"", ""search"", ""remove_from_cart"", ""view_returns"", ""wishlist_add""]",FR,tablet,enterprise,0,0,1,220.22448695880612,28,0
user_44,"[""add_to_cart"", ""wishlist_add"", ""page_view"", ""page_view"", ""add_to_cart"", ""search""]",DE,mobile,free,0,0,1,141.54988235216547,30,0
user_45,"[""wishlist_add"", ""add_to_cart"", ""page_view"", ""page_view"", ""view_returns"", ""contact_support"", ""search"", ""wishlist_add"", ""wishlist_add""]",US,desktop,premium,0,0,1,572.3055663392596,67,1
user_46,"[""view_item"", ""add_to_cart"", ""view_item"", ""add_to_cart"", ""check_policy"", ""page_view"", ""contact_support"", ""view_returns"", ""contact_support"", ""contact_support"", ""contact_support"", ""view_item"", ""add_to_cart"", ""rage_click"", ""check_policy"", ""remove_from_cart"", ""contact_support"", ""begin_checkout"", ""view_item""]",JP,tablet,premium,1,0,1,257.2247745362797,39,0
user_47,"[""search"", ""view_returns"", ""remove_from_cart"", ""rage_click"", ""begin_checkout"", ""rage_click"", ""remove_from_cart"", ""contact_support"", ""begin_checkout"", ""rage_click"", ""view_returns"", ""add_to_cart"", ""page_view"", ""add_to_cart"", ""remove_from_cart"", ""view_item"", ""page_view""]",IN,mobile,enterprise,0,0,1,112.67698250760769,16,0
user_48,"[""view_returns"", ""check_policy"", ""begin_checkout"", ""wishlist_add"", ""page_view"", ""check_policy"", ""check_policy"", ""rage_click"", ""add_to_cart"", ""rage_click"", ""page_view""]",CN,mobile,premium,2,0,1,176.15223646556655,78,0
user_49,"[""remove_from_cart"", ""rage_click"", ""purchase"", ""search"", ""add_to_cart""]",CN,mobile,free,0,1,1,132.39152756736237,73,1
user_50,"[""remove_from_cart"", ""wishlist_add"", ""rage_click"", ""add_to_cart"", ""wishlist_add""]",FR,desktop,free,0,0,0,168.6807355226008,11,1
user_51,"[""check_policy"", ""wishlist_add"", ""remove_from_cart"", ""add_to_cart"", ""contact_support"", ""begin_checkout"", ""begin_checkout"", ""add_to_cart"", ""wishlist_add"", ""rage_click"", ""remove_from_cart"", ""search"", ""begin_checkout""]",JP,mobile,free,1,0,1,22.179805443280628,76,1
user_52,"[""begin_checkout"", ""check_policy"", ""rage_click"", ""check_policy"", ""begin_checkout"", ""contact_support"", ""contact_support"", ""check_policy""]",UK,tablet,enterprise,0,1,2,35.60662167774902,88,1
user_53,"[""contact_support"", ""begin_checkout"", ""add_to_cart"", ""check_policy"", ""search"", ""search"", ""view_item"", ""wishlist_add"", ""rage_click"", ""contact_support"", ""contact_support"", ""wishlist_add"", ""page_view"", ""purchase"", ""check_policy"", ""view_returns"", ""contact_support"", ""rage_click""]",DE,tablet,free,0,0,4,293.2039441162691,83,1
user_54,"[""search"", ""contact_support"", ""view_item"", ""begin_checkout"", ""begin_checkout"", ""purchase""]",FR,mobile,premium,0,0,3,345.66884189268023,18,1
user_55,"[""view_returns"", ""page_view"", ""purchase"", ""remove_from_cart"", ""page_view"", ""check_policy"", ""rage_click""]",BR,desktop,enterprise,0,1,2,303.6921909294944,32,1
user_56,"[""remove_from_cart"", ""remove_from_cart"", ""purchase"", ""wishlist_add"", ""add_to_cart"", ""wishlist_add"", ""purchase"", ""check_policy"", ""search"", ""contact_support"", ""contact_support"", ""add_to_cart"", ""check_policy"", ""add_to_cart"", ""view_item"", ""wishlist_add"", ""contact_support""]",US,tablet,free,1,0,4,432.00399628186176,23,1
user_57,"[""wishlist_add"", ""view_returns"", ""rage_click"", ""check_policy"", ""page_view"", ""add_to_cart"", ""wishlist_add"", ""rage_click""]",CN,tablet,free,0,0,2,862.2350916730193,63,0
user_58,"[""wishlist_add"", ""page_view"", ""rage_click"", ""view_returns"", ""page_view"", ""purchase"", ""begin_checkout"", ""purchase"", ""contact_support"", ""wishlist_add"", ""begin_checkout"", ""purchase"", ""begin_checkout"", ""search"", ""wishlist_add"", ""begin_checkout"", ""remove_from_cart"", ""add_to_cart"", ""add_to_cart""]",US,tablet,premium,0,0,3,591.161734687781,54,0
user_59,"[""rage_click"", ""view_item"", ""rage_click"", ""page_view"", ""page_view"", ""begin_checkout"", ""purchase"", ""purchase""]",DE,mobile,premium,0,0,0,162.64823421372228,25,0
user_60,"[""check_policy"", ""rage_click"", ""search"", ""wishlist_add"", ""contact_support"", ""view_returns"", ""purchase""]",JP,tablet,enterprise,0,0,0,73.59494554299711,93,0
user_61,"[""view_returns"", ""wishlist_add"", ""begin_checkout"", ""view_returns"", ""contact_support"", ""wishlist_add"", ""remove_from_cart"", ""contact_support"", ""view_returns"", ""contact_support"", ""wishlist_add"", ""view_item"", ""wishlist_add"", ""wishlist_add"", ""begin_checkout"", ""rage_click""]",JP,mobile,free,2,0,1,112.12549661933141,81,1
user_62,"[""search"", ""purchase"", ""page_view"", ""rage_click"", ""page_view"", ""begin_checkout"", ""remove_from_cart"", ""wishlist_add""]",FR,mobile,free,1,1,1,265.8314009872903,66,1
user_63,"[""add_to_cart"", ""purchase"", ""view_item"", ""add_to_cart"", ""begin_checkout"", ""rage_click"", ""view_item"", ""contact_support"", ""view_returns"", ""view_item"", ""search"", ""begin_checkout"", ""check_policy"", ""view_returns"", ""page_view"", ""purchase"", ""page_view""]",FR,mobile,premium,0,0,0,581.8169382151706,17,0
user_64,"[""page_view"", ""search"", ""begin_checkout"", ""contact_support"", ""rage_click"", ""purchase""]",JP,mobile,enterprise,0,0,1,362.920938205946,34,0
user_65,"[""search"", ""page_view"", ""page_view"", ""view_item"", ""rage_click"", ""add_to_cart"", ""page_view"", ""begin_checkout"", ""check_policy"", ""purchase"", ""wishlist_add"", ""page_view"", ""begin_checkout"", ""begin_checkout"", ""purchase""]",FR,mobile,premium,0,0,3,234.93016924276813,50,1
user_66,"[""begin_checkout"", ""check_policy"", ""begin_checkout"", ""begin_checkout"", ""begin_checkout"", ""contact_support"", ""contact_support""]",JP,tablet,premium,0,0,1,276.2993073439976,71,0
user_67,"[""page_view"", ""begin_checkout"", ""rage_click"", ""page_view"", ""add_to_cart"", ""remove_from_cart"", ""page_view""]",DE,mobile,enterprise,1,0,3,225.39895965157544,86,0
user_68,"[""view_returns"", ""view_item"", ""wishlist_add"", ""view_returns"", ""check_policy""]",FR,mobile,free,2,0,1,1068.7005936319058,27,1
user_69,"[""contact_support"", ""view_item"", ""purchase"", ""purchase"", ""add_to_cart"", ""search"", ""view_item"", ""wishlist_add"", ""page_view"", ""purchase"", ""wishlist_add"", ""begin_checkout"", ""search"", ""rage_click""]",JP,mobile,free,1,0,4,507.9950004174401,59,0
user_70,"[""check_policy"", ""begin_checkout"", ""begin_checkout"", ""view_item"", ""search""]",FR,mobile,free,0,0,2,455.98505242403377,50,0
user_71,"[""check_policy"", ""purchase"", ""wishlist_add"", ""view_item"", ""purchase"", ""view_item"", ""view_item""]",US,mobile,enterprise,1,1,3,218.52599688856606,43,0
user_72,"[""search"", ""add_to_cart"", ""view_item"", ""remove_from_cart"", ""rage_click"", ""purchase""]",IN,mobile,enterprise,0,0,0,120.95457088806525,90,0
user_73,"[""view_returns"", ""wishlist_add"", ""check_policy"", ""contact_support"", ""add_to_cart""]",CN,tablet,enterprise,1,0,2,5.912102427707168,21,0
user_74,"[""begin_checkout"", ""remove_from_cart"", ""contact_support"", ""view_returns"", ""page_view""]",US,mobile,enterprise,0,0,3,13.320400429158717,89,0
user_75,"[""page_view"", ""wishlist_add"", ""remove_from_cart"", ""view_returns"", ""begin_checkout"", ""view_item"", ""purchase"", ""begin_checkout"", ""view_item"", ""search"", ""search"", ""search"", ""add_to_cart"", ""rage_click""]",UK,mobile,enterprise,0,0,3,9.211356373287632,86,0
user_76,"[""check_policy"", ""search"", ""purchase"", ""view_returns"", ""remove_from_cart"", ""view_returns"", ""remove_from_cart"", ""view_returns"", ""rage_click"", ""add_to_cart"", ""add_to_cart""]",JP,tablet,premium,0,0,2,1180.8450225979082,84,0
user_77,"[""view_item"", ""contact_support"", ""add_to_cart"", ""add_to_cart"", ""begin_checkout"", ""begin_checkout"", ""view_item"", ""wishlist_add"", ""contact_support"", ""purchase"", ""begin_checkout"", ""purchase"", ""page_view"", ""begin_checkout"", ""rage_click""]",UK,tablet,free,1,0,2,36.47486300796214,87,1
user_78,"[""contact_support"", ""view_item"", ""page_view"", ""contact_support"", ""search"", ""rage_click"", ""contact_support"", ""rage_click"", ""rage_click"", ""purchase"", ""view_returns"", ""search"", ""page_view"", ""contact_support"", ""remove_from_cart"", ""page_view""]",JP,desktop,enterprise,1,0,1,45.986913711371486,51,0
user_79,"[""page_view"", ""add_to_cart"", ""remove_from_cart"", ""view_returns"", ""purchase"", ""contact_support"", ""wishlist_add"", ""check_policy"", ""view_returns"", ""view_item"", ""contact_support"", ""search""]",IN,tablet,free,1,0,0,198.5817687368031,64,0
user_80,"[""add_to_cart"", ""check_policy"", ""add_to_cart"", ""check_policy"", ""search"", ""wishlist_add"", ""view_item"", ""contact_support"", ""purchase"", ""add_to_cart"", ""add_to_cart"", ""rage_click""]",CN,tablet,enterprise,1,0,0,196.98739678899796,68,0
user_81,"[""begin_checkout"", ""wishlist_add"", ""contact_support"", ""check_policy"", ""rage_click"", ""page_view"", ""check_policy"", ""purchase"", ""contact_support"", ""wishlist_add"", ""rage_click""]",FR,mobile,free,0,0,2,757.6202367366013,60,0
user_82,"[""remove_from_cart"", ""rage_click"", ""remove_from_cart"", ""contact_support"", ""add_to_cart""]",JP,desktop,premium,2,0,2,22.91296865519721,97,0
user_83,"[""view_item"", ""remove_from_cart"", ""purchase"", ""view_item"", ""view_returns"", ""view_returns"", ""page_view"", ""wishlist_add"", ""add_to_cart"", ""contact_support"", ""rage_click"", ""begin_checkout"", ""purchase""]",IN,mobile,free,0,0,2,945.6398007253823,62,0
user_84,"[""contact_support"", ""view_item"", ""search"", ""view_returns"", ""search"", ""purchase"", ""begin_checkout"", ""rage_click""]",US,desktop,free,1,0,2,73.15324066135507,90,1
user_85,"[""begin_checkout"", ""purchase"", ""begin_checkout"", ""purchase"", ""purchase""]",FR,mobile,enterprise,1,0,3,1053.5094186567844,18,1
user_86,"[""remove_from_cart"", ""search"", ""view_returns"", ""check_policy"", ""rage_click"", ""check_policy"", ""add_to_cart"", ""add_to_cart"", ""view_returns"", ""begin_checkout"", ""remove_from_cart""]",CN,tablet,free,1,0,1,233.82342478053087,12,0
user_87,"[""purchase"", ""view_item"", ""remove_from_cart"", ""wishlist_add"", ""search"", ""remove_from_cart"", ""purchase"", ""purchase"", ""page_view"", ""view_returns"", ""purchase"", ""add_to_cart""]",US,tablet,premium,1,0,3,316.6768278351036,17,0
user_88,"[""rage_click"", ""view_item"", ""search"", ""view_returns"", ""contact_support"", ""add_to_cart"", ""wishlist_add"", ""begin_checkout"", ""purchase"", ""contact_support"", ""purchase"", ""remove_from_cart"", ""add_to_cart"", ""remove_from_cart"", ""page_view"", ""remove_from_cart"", ""page_view"", ""wishlist_add""]",FR,desktop,premium,2,0,2,113.82027262782628,91,0
user_89,"[""page_view"", ""contact_support"", ""purchase"", ""begin_checkout"", ""search"", ""remove_from_cart"", ""search"", ""add_to_cart"", ""page_view"", ""purchase"", ""view_item"", ""view_returns"", ""contact_support"", ""begin_checkout"", ""check_policy"", ""contact_support"", ""wishlist_add"", ""view_item"", ""view_returns""]",JP,mobile,premium,1,1,0,283.88889239572234,68,0
user_90,"[""remove_from_cart"", ""page_view"", ""begin_checkout"", ""rage_click"", ""page_view"", ""rage_click""]",JP,mobile,enterprise,0,0,1,372.2219302117182,39,1
user_91,"[""view_returns"", ""purchase"", ""check_policy"", ""add_to_cart"", ""page_view"", ""begin_checkout"", ""wishlist_add"", ""wishlist_add"", ""view_item"", ""begin_checkout"", ""view_returns"", ""search"", ""rage_click"", ""view_item"", ""wishlist_add""]",US,tablet,enterprise,1,0,1,3.127293638933035,76,0
user_92,"[""add_to_cart"", ""page_view"", ""view_returns"", ""purchase"", ""wishlist_add"", ""view_returns"", ""search""]",DE,tablet,enterprise,1,1,2,10.448381316985587,64,1
user_93,"[""begin_checkout"", ""wishlist_add"", ""add_to_cart"", ""begin_checkout"", ""begin_checkout"", ""begin_checkout"", ""add_to_cart"", ""search"", ""contact_support"", ""remove_from_cart"", ""rage_click"", ""contact_support"", ""rage_click""]",JP,desktop,enterprise,0,0,2,1291.0092666917146,43,1
user_94,"[""view_returns"", ""view_returns"", ""check_policy"", ""view_returns"", ""add_to_cart"", ""purchase""]",IN,tablet,enterprise,0,1,1,183.50173847497243,52,0
user_95,"[""check_policy"", ""page_view"", ""rage_click"", ""page_view"", ""page_view""]",DE,desktop,premium,0,0,0,823.8075262291062,37,0
user_96,"[""check_policy"", ""view_item"", ""begin_checkout"", ""view_returns"", ""view_returns"", ""add_to_cart"", ""check_policy"", ""add_to_cart"", ""purchase"", ""purchase"", ""add_to_cart"", ""check_policy"", ""add_to_cart"", ""view_returns"", ""contact_support"", ""remove_from_cart"", ""page_view"", ""remove_from_cart"", ""check_policy""]",FR,desktop,free,0,0,0,392.68625846563924,46,0
user_97,"[""remove_from_cart"", ""purchase"", ""rage_click"", ""page_view"", ""begin_checkout"", ""search"", ""check_policy"", ""page_view"", ""remove_from_cart"", ""purchase"", ""view_item"", ""contact_support"", ""begin_checkout"", ""search"", ""contact_support""]",DE,desktop,premium,2,0,2,140.0274582360105,98,0
user_98,"[""purchase"", ""purchase"", ""remove_from_cart"", ""view_returns"", ""remove_from_cart""]",US,desktop,enterprise,0,0,2,49.05300425277105,39,1
user_99,"[""view_returns"", ""begin_checkout"", ""remove_from_cart"", ""wishlist_add"", ""view_item"", ""search"", ""add_to_cart"", ""add_to_cart"", ""remove_from_cart"", ""remove_from_cart"", ""contact_support"", ""search""]",UK,tablet,premium,1,0,3,1147.0901029156116,80,0
user_100,"[""begin_checkout"", ""remove_from_cart"", ""search"", ""contact_support"", ""view_returns"", ""purchase"", ""purchase"", ""view_returns"", ""check_policy"", ""contact_support"", ""search"", ""wishlist_add"", ""contact_support"", ""view_returns"", ""view_item""]",UK,desktop,free,0,0,1,263.4790969621242,71,0
user_101,"[""page_view"", ""view_returns"", ""wishlist_add"", ""search"", ""wishlist_add"", ""wishlist_add"", ""remove_from_cart"", ""remove_from_cart"", ""begin_checkout"", ""view_returns"", ""begin_checkout"", ""view_returns"", ""contact_support""]",US,tablet,enterprise,0,0,1,64.09040503396852,38,1
user_102,"[""wishlist_add"", ""contact_support"", ""rage_click"", ""purchase"", ""add_to_cart""]",BR,desktop,premium,1,0,1,343.3839702765702,11,0
user_103,"[""view_returns"", ""rage_click"", ""purchase"", ""search"", ""check_policy"", ""page_view"", ""begin_checkout"", ""begin_checkout"", ""contact_support"", ""remove_from_cart"", ""purchase"", ""check_policy"", ""rage_click"", ""page_view"", ""purchase"", ""check_policy"", ""add_to_cart""]",IN,tablet,premium,0,0,0,28.96929801938561,99,0
user_104,"[""begin_checkout"", ""rage_click"", ""begin_checkout"", ""rage_click"", ""contact_support"", ""remove_from_cart"", ""rage_click"", ""begin_checkout"", ""contact_support"", ""rage_click"", ""add_to_cart"", ""remove_from_cart""]",UK,desktop,free,1,0,0,607.5707455675149,66,0
user_105,"[""contact_support"", ""search"", ""purchase"", ""view_item"", ""check_policy"", ""view_item"", ""search"", ""view_item"", ""search"", ""page_view"", ""search"", ""search"", ""wishlist_add""]",US,tablet,enterprise,1,0,0,28.338486573690435,66,0
user_106,"[""add_to_cart"", ""purchase"", ""view_returns"", ""rage_click"", ""check_policy"", ""remove_from_cart"", ""purchase"", ""begin_checkout"", ""view_returns"", ""page_view"", ""page_view"", ""search"", ""purchase"", ""contact_support"", ""wishlist_add""]",JP,mobile,enterprise,0,0,0,80.83257535462593,51,0
user_107,"[""begin_checkout"", ""page_view"", ""check_policy"", ""page_view"", ""remove_from_cart"", ""rage_click""]",DE,desktop,free,0,0,2,28.765269153006123,58,0
user_108,"[""remove_from_cart"", ""purchase"", ""purchase"", ""wishlist_add"", ""view_returns""]",UK,desktop,free,0,0,4,32.87322390198277,66,0
user_109,"[""check_policy"", ""page_view"", ""check_policy"", ""add_to_cart"", ""search""]",JP,mobile,free,0,0,4,222.5967206253975,80,0
user_110,"[""add_to_cart"", ""page_view"", ""view_returns"", ""add_to_cart"", ""view_item"", ""page_view"", ""add_to_cart"", ""view_item"", ""view_item"", ""purchase"", ""wishlist_add"", ""page_view""]",UK,mobile,free,0,0,1,348.4558527870712,27,0
