user_id,event_sequence,label
58,"[2, 4, 4, 6, 4, 4, 24, 2, 8, 3, 4, 3, 23, 2, 24, 3, 23, 6, 4, 2]",0
59,"[4, 24, 23, 24, 6, 2, 3, 8, 2, 6, 8, 23, 8, 24, 2, 6, 4, 23, 8, 23]",0
60,"[11, 11, 11, 3, 5, 3, 18, 3, 13, 3, 18, 2, 5, 5, 5, 14, 3, 13, 2, 3]",1
61,"[3, 14, 3, 13, 3, 18, 12, 14, 14, 2, 12, 2, 13, 14, 3, 2, 5, 5, 12, 3]",1
62,"[13, 5, 18, 14, 12, 3, 5, 13, 3, 11, 2, 12, 11, 12, 13, 14, 13, 13, 14, 12]",1
63,"[24, 8, 24, 2, 6, 2, 8, 23, 3, 3, 2, 6, 3, 23, 4, 6, 2, 2, 23, 2]",0
64,"[6, 4, 6, 4, 2, 4, 6, 2, 8, 2, 3, 23, 6, 6, 23, 8, 6, 3, 2, 3]",0
65,"[23, 4, 2, 8, 4, 4, 8, 23, 23, 23, 3, 2, 2, 3, 3, 2, 23, 8, 6, 6]",0
66,"[24, 8, 8, 2, 3, 8, 24, 2, 2, 8, 2, 6, 24, 6, 23, 3, 2, 4, 3, 24]",0
67,"[3, 5, 13, 12, 11, 12, 18, 3, 18, 14, 14, 3, 14, 14, 13, 2, 2, 3, 14, 14]",1
68,"[24, 2, 2, 23, 2, 2, 6, 4, 4, 2, 24, 8, 4, 24, 23, 24, 24, 3, 23, 24]",0
69,"[13, 3, 12, 5, 3, 2, 14, 13, 13, 18, 11, 12, 11, 3, 13, 5, 3, 12, 2, 13]",1
70,"[23, 2, 3, 3, 6, 3, 4, 23, 4, 2, 23, 8, 3, 8, 2, 6, 24, 4, 8, 8]",0
71,"[3, 24, 23, 6, 6, 3, 24, 24, 4, 4, 2, 6, 8, 6, 3, 6, 8, 24, 6, 4]",0
72,"[12, 11, 2, 2, 13, 13, 3, 14, 2, 2, 2, 13, 14, 13, 14, 14, 2, 2, 3, 11]",1
73,"[18, 18, 13, 2, 3, 18, 13, 5, 18, 13, 3, 2, 18, 5, 2, 14, 14, 13, 5, 13]",1
74,"[3, 3, 5, 12, 13, 5, 12, 14, 5, 13, 14, 2, 12, 2, 12, 2, 13, 5, 2, 14]",1
75,"[6, 2, 8, 24, 4, 8, 8, 3, 3, 24, 4, 3, 8, 2, 6, 3, 24, 4, 2, 3]",0
76,"[24, 23, 24, 2, 23, 4, 8, 6, 8, 6, 24, 24, 24, 2, 23, 23, 8, 8, 2, 2]",0
77,"[23, 23, 2, 3, 8, 8, 6, 8, 8, 24, 6, 2, 23, 8, 6, 4, 6, 3, 23, 3]",0
78,"[2, 8, 2, 2, 24, 2, 8, 2, 2, 8, 8, 8, 4, 8, 24, 4, 8, 3, 2, 23]",0
79,"[24, 2, 4, 4, 8, 24, 3, 2, 24, 8, 3, 6, 24, 8, 8, 23, 24, 4, 8, 2]",0
80,"[2, 8, 4, 8, 23, 2, 23, 3, 2, 6, 23, 24, 4, 4, 24, 6, 2, 3, 3, 3]",0
81,"[3, 23, 2, 24, 23, 3, 8, 3, 4, 6, 8, 24, 4, 2, 24, 23, 6, 4, 8, 23]",0
82,"[3, 6, 3, 8, 24, 24, 4, 4, 24, 23, 4, 8, 3, 23, 4, 6, 3, 23, 3, 3]",0
83,"[4, 6, 3, 24, 8, 8, 24, 2, 2, 4, 24, 6, 8, 23, 4, 3, 3, 23, 3, 2]",0
84,"[18, 12, 13, 18, 13, 2, 3, 14, 14, 3, 3, 2, 5, 3, 5, 11, 2, 14, 14, 18]",1
85,"[2, 5, 3, 5, 14, 12, 12, 18, 11, 2, 12, 2, 3, 14, 11, 3, 11, 14, 12, 5]",1
86,"[24, 2, 2, 23, 6, 23, 2, 3, 8, 8, 23, 3, 4, 24, 6, 23, 2, 4, 8, 4]",0
87,"[3, 6, 2, 4, 24, 8, 4, 8, 24, 23, 6, 3, 23, 2, 24, 2, 24, 2, 2, 8]",0
88,"[6, 3, 6, 4, 24, 24, 3, 6, 24, 23, 6, 24, 6, 4, 3, 3, 4, 24, 24, 23]",0
89,"[3, 23, 4, 2, 8, 2, 24, 24, 23, 4, 6, 24, 23, 3, 4, 8, 24, 3, 24, 23]",0
90,"[8, 4, 24, 8, 23, 2, 2, 24, 2, 3, 6, 4, 6, 3, 8, 8, 24, 3, 8, 2]",0
91,"[6, 4, 24, 2, 3, 23, 4, 6, 2, 4, 2, 23, 2, 2, 24, 4, 8, 6, 23, 6]",0
92,"[3, 8, 24, 4, 6, 3, 8, 24, 24, 4, 2, 2, 3, 4, 4, 8, 8, 4, 3, 24]",0
93,"[3, 5, 2, 14, 14, 14, 12, 2, 18, 12, 2, 3, 12, 2, 18, 3, 13, 2, 2, 3]",1
94,"[14, 14, 11, 12, 11, 11, 14, 3, 5, 3, 14, 11, 18, 14, 11, 5, 5, 11, 3, 14]",1
95,"[8, 24, 8, 8, 24, 8, 24, 3, 4, 24, 4, 6, 4, 2, 4, 4, 4, 8, 8, 24]",0
96,"[6, 8, 23, 6, 24, 24, 3, 8, 4, 24, 24, 3, 23, 8, 3, 8, 3, 6, 24, 3]",0
97,"[3, 6, 2, 24, 2, 4, 24, 24, 3, 3, 24, 2, 23, 2, 23, 4, 8, 2, 24, 8]",0
98,"[23, 8, 24, 8, 3, 23, 8, 6, 2, 23, 2, 24, 23, 6, 23, 4, 23, 2, 8, 3]",0
99,"[3, 4, 4, 24, 8, 3, 4, 24, 2, 6, 4, 3, 6, 4, 4, 2, 23, 23, 3, 6]",0
100,"[23, 23, 6, 8, 23, 23, 23, 24, 8, 6, 6, 2, 4, 8, 23, 4, 23, 2, 24, 8]",0
101,"[14, 12, 18, 14, 11, 12, 11, 13, 13, 12, 14, 18, 5, 11, 14, 13, 12, 12, 18, 18]",1
102,"[4, 3, 3, 4, 2, 4, 4, 2, 24, 6, 24, 2, 8, 4, 6, 24, 8, 4, 23, 8]",0
103,"[3, 3, 8, 2, 6, 4, 8, 3, 8, 3, 3, 2, 2, 23, 24, 8, 4, 8, 24, 4]",0
104,"[14, 2, 11, 2, 18, 2, 11, 13, 2, 14, 11, 11, 3, 12, 3, 5, 18, 3, 13, 11]",1
105,"[11, 13, 18, 12, 2, 12, 18, 2, 18, 11, 14, 11, 11, 13, 2, 5, 5, 18, 14, 2]",1
106,"[13, 2, 13, 14, 3, 11, 11, 14, 11, 13, 14, 3, 13, 12, 13, 2, 14, 2, 11, 14]",1
107,"[23, 3, 24, 3, 24, 6, 24, 4, 4, 23, 3, 4, 24, 24, 2, 23, 23, 2, 8, 4]",0
108,"[3, 13, 11, 2, 13, 3, 12, 13, 18, 3, 3, 13, 5, 2, 18, 11, 12, 14, 13, 5]",1
109,"[24, 4, 6, 6, 6, 23, 8, 6, 4, 23, 8, 24, 23, 23, 24, 3, 2, 8, 4, 8]",0
110,"[3, 3, 24, 8, 6, 8, 23, 23, 6, 4, 8, 3, 2, 6, 2, 4, 2, 4, 4, 3]",0
111,"[3, 23, 2, 8, 4, 23, 6, 4, 24, 3, 2, 2, 3, 6, 24, 3, 6, 4, 23, 6]",0
112,"[8, 4, 8, 24, 6, 4, 3, 4, 3, 8, 24, 4, 23, 2, 6, 4, 8, 23, 24, 2]",0
113,"[23, 23, 4, 6, 2, 2, 24, 6, 8, 24, 2, 2, 2, 23, 8, 3, 3, 8, 4, 3]",0
114,"[2, 11, 2, 18, 11, 2, 5, 12, 14, 13, 12, 12, 2, 13, 14, 11, 11, 11, 14, 2]",1
115,"[11, 13, 11, 2, 14, 13, 13, 18, 14, 11, 12, 13, 13, 3, 12, 5, 18, 13, 3, 3]",1
116,"[5, 2, 14, 12, 14, 14, 13, 3, 12, 2, 18, 2, 12, 2, 14, 14, 3, 5, 12, 12]",1
117,"[8, 2, 6, 23, 2, 6, 24, 8, 24, 4, 3, 2, 24, 2, 2, 2, 23, 8, 23, 8]",0
118,"[3, 24, 24, 24, 24, 2, 4, 2, 24, 23, 24, 24, 23, 6, 2, 24, 24, 6, 24, 3]",0
119,"[11, 12, 13, 5, 2, 12, 18, 14, 11, 2, 18, 3, 13, 2, 12, 11, 18, 12, 2, 12]",1
120,"[2, 8, 23, 8, 2, 6, 3, 6, 8, 8, 23, 4, 2, 2, 24, 6, 3, 8, 2, 8]",0
121,"[2, 6, 23, 8, 3, 4, 2, 4, 6, 4, 4, 4, 6, 23, 23, 3, 8, 3, 6, 8]",0
122,"[6, 3, 2, 24, 3, 2, 4, 23, 6, 2, 3, 3, 6, 24, 4, 4, 23, 8, 6, 2]",0
123,"[4, 23, 23, 23, 24, 8, 8, 6, 8, 8, 23, 8, 6, 24, 4, 4, 3, 2, 3, 3]",0
124,"[4, 2, 3, 6, 4, 2, 24, 3, 2, 24, 2, 24, 8, 24, 2, 2, 8, 6, 24, 4]",0
125,"[4, 4, 4, 2, 23, 2, 23, 24, 6, 3, 2, 4, 23, 2, 23, 24, 3, 3, 4, 23]",0
126,"[14, 11, 3, 13, 18, 2, 2, 5, 18, 12, 12, 13, 14, 18, 2, 18, 2, 14, 2, 2]",1
127,"[12, 13, 18, 11, 3, 14, 13, 5, 11, 3, 5, 18, 11, 2, 12, 11, 3, 18, 11, 13]",1
128,"[2, 18, 12, 2, 13, 3, 13, 12, 5, 5, 14, 18, 3, 13, 5, 18, 12, 11, 5, 5]",1
129,"[4, 4, 3, 3, 3, 8, 3, 3, 24, 8, 6, 6, 4, 3, 3, 4, 2, 8, 4, 3]",0
130,"[5, 12, 3, 11, 13, 2, 13, 13, 13, 11, 5, 13, 13, 12, 11, 12, 18, 18, 5, 14]",1
131,"[3, 8, 23, 6, 2, 3, 24, 3, 6, 23, 4, 2, 6, 2, 24, 2, 3, 23, 8, 4]",0
132,"[3, 3, 3, 6, 23, 4, 6, 23, 8, 3, 6, 8, 4, 24, 6, 3, 23, 6, 2, 24]",0
133,"[8, 3, 2, 3, 4, 3, 3, 23, 6, 23, 3, 4, 3, 23, 3, 23, 23, 23, 24, 3]",0
134,"[2, 3, 2, 4, 4, 4, 2, 2, 4, 23, 6, 24, 3, 23, 8, 4, 2, 8, 4, 3]",0
135,"[23, 6, 23, 6, 24, 4, 4, 3, 8, 4, 24, 8, 4, 3, 3, 24, 3, 4, 8, 4]",0
136,"[18, 2, 18, 11, 13, 5, 11, 14, 18, 5, 2, 5, 13, 11, 18, 5, 12, 2, 5, 3]",1
137,"[2, 6, 4, 6, 2, 8, 24, 6, 6, 24, 23, 8, 23, 8, 6, 24, 2, 6, 4, 24]",0
138,"[8, 2, 3, 24, 8, 24, 8, 2, 8, 23, 8, 2, 8, 4, 3, 3, 2, 24, 4, 8]",0
139,"[13, 11, 12, 3, 12, 14, 14, 2, 11, 14, 13, 2, 11, 13, 12, 13, 5, 18, 3, 18]",1
140,"[3, 8, 3, 24, 2, 24, 6, 6, 8, 8, 6, 3, 4, 8, 8, 3, 23, 24, 8, 23]",0
141,"[23, 4, 2, 6, 23, 3, 24, 24, 23, 2, 23, 2, 24, 3, 8, 4, 2, 8, 8, 4]",0
142,"[6, 4, 6, 2, 4, 23, 6, 2, 2, 3, 24, 8, 3, 3, 4, 2, 3, 6, 2, 2]",0
143,"[14, 11, 11, 11, 14, 14, 2, 5, 14, 2, 2, 12, 5, 18, 13, 14, 18, 12, 18, 12]",1
144,"[23, 3, 6, 8, 8, 4, 4, 6, 23, 2, 6, 8, 24, 6, 3, 6, 8, 23, 24, 2]",0
145,"[11, 2, 2, 2, 14, 13, 3, 11, 3, 2, 2, 11, 11, 12, 14, 5, 14, 12, 3, 14]",1
146,"[8, 23, 8, 2, 4, 6, 6, 2, 8, 23, 3, 23, 24, 4, 2, 23, 23, 23, 4, 24]",0
147,"[3, 24, 2, 4, 4, 2, 3, 8, 4, 4, 23, 2, 24, 23, 23, 6, 3, 8, 24, 4]",0
148,"[24, 23, 3, 8, 3, 24, 24, 3, 24, 24, 3, 23, 8, 4, 4, 24, 8, 2, 8, 24]",0
149,"[23, 2, 3, 2, 4, 24, 3, 3, 3, 8, 3, 24, 2, 4, 3, 24, 2, 23, 6, 4]",0
150,"[2, 8, 2, 2, 8, 4, 4, 3, 4, 6, 3, 4, 23, 6, 8, 2, 8, 24, 2, 6]",0
151,"[23, 23, 23, 23, 8, 4, 8, 4, 4, 24, 3, 8, 3, 23, 6, 3, 2, 23, 3, 6]",0
152,"[3, 23, 24, 2, 2, 23, 23, 8, 3, 3, 4, 8, 23, 4, 4, 23, 24, 6, 2, 2]",0
153,"[4, 6, 4, 3, 3, 23, 24, 3, 2, 6, 24, 24, 3, 4, 3, 3, 3, 2, 4, 24]",0
154,"[2, 2, 3, 6, 23, 8, 8, 24, 8, 4, 8, 23, 23, 3, 8, 8, 2, 3, 24, 6]",0
155,"[8, 4, 8, 23, 3, 3, 8, 2, 24, 4, 8, 4, 6, 24, 23, 2, 6, 23, 4, 23]",0
156,"[11, 13, 3, 18, 2, 12, 18, 18, 13, 12, 14, 18, 5, 5, 18, 18, 11, 2, 5, 13]",1
157,"[13, 13, 18, 2, 5, 18, 12, 12, 12, 11, 5, 11, 3, 5, 12, 2, 18, 3, 3, 3]",1
158,"[6, 3, 23, 4, 6, 3, 4, 4, 23, 4, 8, 2, 3, 2, 3, 24, 8, 24, 24, 8]",0
159,"[2, 4, 23, 8, 4, 6, 2, 3, 4, 6, 8, 4, 3, 24, 3, 3, 3, 4, 2, 24]",0
160,"[23, 2, 4, 4, 24, 23, 4, 8, 3, 24, 6, 23, 2, 24, 2, 23, 23, 2, 6, 4]",0
161,"[24, 4, 8, 23, 4, 3, 23, 2, 4, 2, 23, 2, 8, 6, 2, 3, 24, 4, 8, 23]",0
162,"[6, 23, 2, 2, 6, 3, 23, 24, 8, 8, 23, 6, 4, 4, 24, 3, 2, 3, 4, 6]",0
163,"[12, 14, 5, 5, 12, 11, 12, 13, 18, 5, 11, 12, 14, 12, 5, 12, 12, 3, 2, 5]",1
164,"[3, 18, 2, 14, 2, 14, 14, 18, 2, 5, 3, 11, 13, 14, 11, 14, 5, 3, 13, 5]",1
165,"[8, 24, 23, 3, 6, 24, 3, 3, 24, 3, 23, 3, 24, 24, 23, 8, 6, 6, 8, 3]",0
166,"[2, 24, 2, 3, 4, 8, 3, 4, 24, 8, 6, 4, 6, 2, 23, 4, 2, 6, 6, 8]",0
167,"[8, 2, 3, 3, 23, 6, 24, 4, 2, 23, 23, 24, 23, 2, 6, 3, 6, 24, 8, 8]",0
168,"[3, 23, 8, 8, 2, 4, 8, 3, 2, 8, 6, 24, 3, 24, 24, 4, 3, 24, 23, 6]",0
169,"[3, 5, 11, 11, 13, 2, 13, 18, 18, 2, 3, 12, 14, 14, 18, 12, 18, 3, 13, 12]",1
170,"[6, 23, 8, 24, 2, 2, 3, 24, 4, 3, 4, 24, 3, 24, 4, 8, 2, 6, 2, 4]",0
171,"[4, 8, 23, 6, 2, 8, 4, 2, 8, 6, 6, 8, 4, 2, 23, 4, 24, 6, 8, 24]",0
172,"[2, 6, 4, 8, 4, 23, 4, 4, 3, 8, 24, 4, 6, 23, 6, 23, 24, 6, 6, 2]",0
173,"[6, 4, 3, 23, 8, 6, 24, 6, 3, 8, 23, 24, 8, 2, 23, 3, 2, 24, 4, 6]",0
174,"[24, 6, 3, 8, 8, 6, 2, 4, 24, 3, 2, 6, 3, 8, 6, 3, 23, 8, 24, 8]",0
175,"[23, 23, 3, 8, 2, 4, 8, 2, 23, 2, 24, 23, 8, 24, 4, 6, 2, 23, 2, 23]",0
176,"[23, 8, 4, 8, 24, 24, 6, 24, 3, 6, 8, 3, 23, 23, 8, 23, 2, 8, 8, 6]",0
177,"[8, 24, 3, 2, 2, 3, 6, 6, 3, 6, 2, 4, 23, 6, 2, 24, 4, 23, 2, 8]",0
178,"[11, 5, 5, 18, 18, 14, 5, 5, 2, 12, 13, 18, 3, 13, 3, 12, 12, 13, 3, 2]",1
179,"[4, 3, 6, 8, 8, 4, 6, 3, 8, 23, 3, 4, 23, 4, 3, 24, 2, 8, 8, 8]",0
180,"[4, 4, 3, 8, 4, 8, 2, 6, 4, 8, 6, 3, 23, 4, 8, 2, 4, 3, 2, 2]",0
181,"[23, 24, 3, 4, 3, 24, 3, 24, 4, 6, 23, 6, 2, 6, 8, 4, 8, 6, 4, 8]",0
182,"[2, 5, 14, 13, 11, 11, 18, 3, 2, 13, 13, 14, 2, 13, 14, 2, 12, 13, 12, 18]",1
183,"[4, 6, 2, 2, 4, 3, 3, 2, 24, 6, 24, 24, 23, 8, 23, 4, 4, 23, 4, 8]",0
184,"[3, 12, 12, 13, 13, 18, 13, 11, 18, 2, 18, 3, 14, 13, 14, 18, 13, 5, 5, 3]",1
185,"[14, 14, 11, 2, 14, 3, 13, 11, 13, 3, 5, 2, 5, 13, 12, 3, 12, 3, 5, 5]",1
186,"[8, 6, 3, 2, 23, 3, 6, 4, 23, 2, 23, 6, 3, 4, 2, 3, 2, 8, 6, 4]",0
187,"[8, 4, 24, 6, 24, 24, 2, 8, 2, 24, 24, 23, 3, 24, 24, 8, 6, 6, 23, 23]",0
188,"[12, 18, 5, 2, 14, 2, 14, 2, 18, 14, 13, 11, 18, 3, 11, 18, 3, 3, 2, 14]",1
189,"[11, 5, 13, 2, 14, 13, 12, 3, 14, 14, 14, 2, 11, 5, 13, 2, 2, 5, 14, 2]",1
190,"[23, 24, 2, 3, 6, 6, 23, 6, 2, 3, 24, 3, 6, 8, 23, 6, 8, 3, 6, 2]",0
191,"[12, 12, 13, 5, 18, 11, 12, 13, 13, 14, 2, 11, 12, 3, 14, 18, 5, 3, 13, 11]",1
192,"[3, 8, 8, 24, 23, 24, 8, 6, 4, 23, 23, 3, 3, 4, 8, 24, 4, 6, 2, 6]",0
193,"[3, 6, 24, 8, 4, 2, 23, 3, 2, 2, 8, 3, 24, 8, 8, 3, 6, 3, 23, 6]",0
194,"[14, 2, 5, 3, 2, 13, 11, 2, 2, 18, 11, 14, 3, 11, 5, 13, 3, 11, 5, 2]",1
195,"[2, 13, 12, 13, 12, 11, 3, 13, 11, 18, 3, 3, 2, 14, 18, 11, 14, 18, 12, 5]",1
196,"[8, 23, 3, 6, 8, 8, 6, 4, 3, 8, 8, 6, 4, 4, 8, 23, 24, 8, 3, 4]",0
197,"[2, 13, 12, 13, 5, 3, 2, 11, 14, 11, 2, 13, 14, 3, 11, 13, 18, 14, 11, 2]",1
198,"[13, 11, 11, 13, 11, 5, 18, 12, 18, 12, 2, 14, 12, 12, 3, 3, 2, 2, 13, 2]",1
199,"[8, 23, 2, 3, 4, 2, 6, 4, 2, 6, 8, 3, 3, 8, 3, 4, 8, 2, 8, 3]",0
200,"[6, 8, 24, 8, 4, 2, 8, 8, 8, 2, 3, 6, 4, 3, 8, 24, 8, 8, 23, 8]",0
201,"[24, 2, 3, 3, 3, 3, 6, 8, 2, 3, 3, 4, 23, 2, 8, 6, 24, 24, 2, 6]",0
202,"[6, 23, 23, 24, 3, 24, 8, 3, 23, 3, 8, 2, 2, 8, 8, 24, 6, 8, 8, 24]",0
203,"[24, 24, 2, 4, 2, 4, 6, 24, 24, 4, 6, 6, 23, 23, 6, 8, 6, 8, 24, 24]",0
204,"[23, 23, 3, 8, 23, 8, 24, 2, 2, 23, 3, 24, 24, 8, 6, 2, 2, 4, 24, 6]",0
205,"[18, 5, 2, 2, 13, 11, 13, 5, 11, 12, 3, 14, 18, 14, 13, 5, 2, 18, 12, 14]",1
206,"[4, 24, 24, 8, 3, 3, 2, 23, 2, 8, 23, 2, 24, 8, 4, 6, 3, 6, 3, 3]",0
207,"[24, 23, 3, 23, 24, 6, 23, 8, 6, 6, 2, 2, 24, 4, 2, 8, 3, 6, 24, 23]",0
208,"[6, 24, 6, 3, 2, 3, 2, 3, 6, 24, 23, 23, 2, 6, 3, 24, 4, 6, 3, 3]",0
209,"[24, 4, 24, 3, 6, 3, 3, 24, 3, 23, 23, 23, 8, 4, 4, 2, 2, 6, 24, 24]",0
210,"[2, 4, 4, 6, 23, 2, 2, 23, 24, 24, 2, 3, 6, 8, 6, 6, 8, 3, 23, 23]",0
